Experimento,Celulas,Plasmido,Luciferasa,Renilla
K5_16_05_16,K562,LARGE-F,6.52,5424
K5_16_05_16,K562,LARGE-F,6.703,7327
K5_16_05_16,K562,LARGE-R,1.451,4963
K5_16_05_16,K562,LARGE-R,1.06,4770
K5_16_05_16,K562,LARGE-R,1.153,5017
M7_17_05_16,MCF7,POS_CNTRL,548,2692
M7_17_05_16,MCF7,POS_CNTRL,654.5,3918
M7_17_05_16,MCF7,POS_CNTRL,866,4111
M7_17_05_16,MCF7,VV,17.02,2734
M7_17_05_16,MCF7,VV,28.74,4128
M7_17_05_16,MCF7,VV,33.55,5160
M7_17_05_16,MCF7,SMALL-F,467,4657
M7_17_05_16,MCF7,SMALL-F,665,6545
M7_17_05_16,MCF7,SMALL-F,875,6599
M7_17_05_16,MCF7,SMALL-R,458,4654
M7_17_05_16,MCF7,SMALL-R,761,6198
M7_17_05_16,MCF7,SMALL-R,1007,8068
M7_17_05_16,MCF7,MR-F,364,4760
M7_17_05_16,MCF7,MR-F,716.1,8655
M7_17_05_16,MCF7,MR-F,783.1,8527
M7_17_05_16,MCF7,MR-R,8.25,7857
M7_17_05_16,MCF7,MR-R,16.54,9482
M7_17_05_16,MCF7,MR-R,20.82,9999
M7_17_05_16,MCF7,CP-F,11.94,2084
M7_17_05_16,MCF7,CP-F,14.09,4594
M7_17_05_16,MCF7,CP-F,24.14,4272
M7_17_05_16,MCF7,CP-R,122.8,2498
M7_17_05_16,MCF7,CP-R,174.8,3065
M7_17_05_16,MCF7,CP-R,243.7,3701
M7_17_05_16,MCF7,LARGE-F,18.09,5807
M7_17_05_16,MCF7,LARGE-F,23.28,7338
M7_17_05_16,MCF7,LARGE-F,22.2,7442
M7_17_05_16,MCF7,LARGE-R,0.62,420.9
M7_17_05_16,MCF7,LARGE-R,0.846,655.7
K5_28_11_16,K562,POS_CNTRL,30.94,502.9
K5_28_11_16,K562,POS_CNTRL,15,298
K5_28_11_16,K562,POS_CNTRL,14.03,267.8
K5_28_11_16,K562,VV,0.48,308.3
K5_28_11_16,K562,VV,0.84,390.8
K5_28_11_16,K562,SMALL-F,564.7,3325
K5_28_11_16,K562,SMALL-F,258,2567
K5_28_11_16,K562,SMALL-F,390.8,2182
K5_28_11_16,K562,SMALL-R,446.9,3063
K5_28_11_16,K562,SMALL-R,613.8,3412
K5_28_11_16,K562,SMALL-R,570.1,3837
K5_28_11_16,K562,INI-F,2.685,562.7
K5_28_11_16,K562,INI-F,3.489,464.3
K5_28_11_16,K562,INI-F,1.023,505.4
K5_28_11_16,K562,INI-R,2.022,371.2
K5_28_11_16,K562,INI-R,2.821,331
K5_28_11_16,K562,INI-R,3.407,491.1
K5_28_11_16,K562,FIN-F,36.78,338.7
K5_28_11_16,K562,FIN-F,34.03,452.2
K5_28_11_16,K562,FIN-F,44.78,520.8
K5_28_11_16,K562,FIN-R,24.13,532.6
K5_28_11_16,K562,FIN-R,12.26,377.8
K5_28_11_16,K562,FIN-R,18.86,378.2
K5_28_11_16,K562,MYC-MT-F,11.26,734.6
K5_28_11_16,K562,MYC-MT-F,35.95,998.3
K5_28_11_16,K562,MYC-MT-F,29.27,769.3
K5_28_11_16,K562,MYC-MT-R,33.36,563.2
K5_28_11_16,K562,MYC-MT-R,40.14,470.6
K5_28_11_16,K562,MYC-MT-R,38.78,525.1
M7_06_06_17,MCF7,POS_CNTRL,,
M7_06_06_18,MCF7,POS_CNTRL,,
M7_06_06_19,MCF7,POS_CNTRL,,
M7_06_06_20,MCF7,VV,,
M7_06_06_21,MCF7,VV,,
M7_06_06_22,MCF7,VV,,
M7_06_06_23,MCF7,SMALL-F,,
M7_06_06_24,MCF7,SMALL-F,,
M7_06_06_25,MCF7,SMALL-F,,
M7_06_06_26,MCF7,SMALL-R,,
M7_06_06_27,MCF7,SMALL-R,,
M7_06_06_28,MCF7,SMALL-R,,
M7_06_06_29,MCF7,INI-F,,
M7_06_06_30,MCF7,INI-F,,
M7_06_06_31,MCF7,INI-F,,
M7_06_06_32,MCF7,INI-R,,
M7_06_06_33,MCF7,INI-R,,
M7_06_06_34,MCF7,INI-R,,
M7_06_06_35,MCF7,MED-F,,
M7_06_06_36,MCF7,MED-F,,
M7_06_06_37,MCF7,MED-F,,
